Reporter_code,Reporter_description,Partner_code,Partner_description,Indicator_code,Indicator_description,Flow_Code,Flow_Description,Year,Unit,Value,Flag,Source_Description,Note
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1988,million USD,5641.691618,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1988,million USD,6975,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1988,million USD,2221.092911,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1988,million USD,4301.10891,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1988,million USD,9633.862237,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1988,million USD,43708.87049,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1988,million USD,30046.89465,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1988,million USD,6990,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1988,million USD,4151.514264,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1989,million USD,52538,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1989,million USD,59142,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1989,million USD,9953.947016,,WTO,
CN,China,WL,World,MA,Manufactures,M,Imports,1989,million USD,45672.25433,,WTO,
CN,China,WL,World,MACL,Clothing,X,Exports,1989,million USD,8165.406,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,X,Exports,1989,million USD,2274.264414,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1989,million USD,38.36,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1989,million USD,5396.521872,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1989,million USD,3590.895097,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1989,million USD,4602.662,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1989,million USD,7214.626,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1989,million USD,7316.928717,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1989,million USD,5703.908259,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1989,million USD,36384.24334,,WTO,
CN,China,WL,World,MAMTOF,Office and telecom equipment,M,Imports,1989,million USD,4100.091099,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1989,million USD,9665.163291,,WTO,
CN,China,WL,World,TO,Total merchandise,M,Imports,1990,million USD,53345,,WTO,
CN,China,WL,World,TO,Total merchandise,X,Exports,1990,million USD,62091,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,X,Exports,1990,million USD,10832.999,,WTO,
CN,China,WL,World,MACL,Clothing,M,Imports,1990,million USD,48.05,,WTO,
CN,China,WL,World,MI,Fuels and mining products,X,Exports,1990,million USD,6558.883224,,WTO,
CN,China,WL,World,AGFO,Food,M,Imports,1990,million USD,4618.679,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,X,Exports,1990,million USD,128,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,M,Imports,1990,million USD,772,,WTO,
CN,China,WL,World,MAIS,Iron and steel,X,Exports,1990,million USD,1282.475,,WTO,
CN,China,WL,World,AGFO,Food,X,Exports,1990,million USD,7867.509,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,M,Imports,1990,million USD,2539,,WTO,
CN,China,WL,World,MACH,Chemicals,M,Imports,1990,million USD,6682.927,,WTO,
CN,China,WL,World,MI,Fuels and mining products,M,Imports,1990,million USD,2822.06349,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,M,Imports,1990,million USD,417.494126,,WTO,
CN,China,WL,World,MAMTOTIC,Integrated circuits and electronic components,M,Imports,1990,million USD,747,,WTO,
CN,China,WL,World,MAMTTE,Transport equipment,M,Imports,1990,million USD,6195.103441,,WTO,
CN,China,WL,World,MAMT,Machinery and transport equipment,M,Imports,1990,million USD,21513.412,,WTO,
CN,China,WL,World,MATE,Textiles,X,Exports,1990,million USD,7219.397,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,M,Imports,1990,million USD,1796,,WTO,
CN,China,WL,World,MAMTAU,Automotive products,X,Exports,1990,million USD,258,,WTO,
CN,China,WL,World,MIFU,Fuels,X,Exports,1990,million USD,5119,,WTO,
CN,China,WL,World,MA,Manufactures,X,Exports,1990,million USD,44312.311,,WTO,
CN,China,WL,World,AG,Agricultural products,X,Exports,1990,million USD,10059.82,,WTO,
CN,China,WL,World,MAIS,Iron and steel,M,Imports,1990,million USD,2852.035,,WTO,
CN,China,WL,World,MACH,Chemicals,X,Exports,1990,million USD,3752.049,,WTO,
CN,China,WL,World,MAMTOTTL,Telecommunications equipment,X,Exports,1990,million USD,2623,,WTO,
CN,China,WL,World,MACHPH,Pharmaceuticals,X,Exports,1990,million USD,642.746819,,WTO,
CN,China,WL,World,MAMTOTEP,Electronic data processing and office equipment,X,Exports,1990,million USD,375,,WTO,
CN,China,WL,World,AG,Agricultural products,M,Imports,1990,million USD,7854.977,,WTO,
CN,China,WL,World,MATE,Textiles,M,Imports,1990,million USD,5292.043,,WTO,
